Date,Summary,Precip_Type,Temperature,Apparent_Temperature,Humidity,Wind_Speed,Wind_Bearing,Visibility,Cloud_Cover,Pressure,Daily_Summary,Year,Month,Day,Season,Temp_Category,Precipitation,Rain_Category
2006-02-05,Overcast,snow,-2.844444444444445,-6.0555555555555545,0.79,7.985600000000001,289.0,4.025,0.0,1023.75,Overcast throughout the day.,2006,2,5,Winter,Freezing,2.5,Moderate
2006-02-06,Partly Cloudy,snow,-7.105555555555555,-13.61111111111111,0.68,17.0821,21.0,10.0464,0.0,1027.58,Foggy starting overnight continuing until morning.,2006,2,6,Winter,Freezing,2.5,Moderate
2006-02-07,Clear,snow,-7.316666666666667,-13.08888888888889,0.68,13.685,350.0,9.982000000000001,0.0,1027.67,Partly cloudy in the morning.,2006,2,7,Winter,Freezing,2.5,Moderate
2006-02-08,Overcast,snow,-2.755555555555556,-7.644444444444446,0.54,14.296800000000003,200.0,9.708300000000001,0.0,1018.14,Mostly cloudy starting in the morning.,2006,2,8,Winter,Freezing,2.5,Moderate
2006-02-09,Mostly Cloudy,snow,-1.0388888888888894,-5.1944444444444455,0.92,12.654600000000002,149.0,7.695800000000001,0.0,1008.48,Foggy starting in the afternoon continuing until evening.,2006,2,9,Winter,Freezing,2.5,Moderate
2006-02-10,Foggy,snow,-2.783333333333334,-5.338888888888889,0.96,6.3112,160.0,0.16100000000000003,0.0,1009.46,Foggy throughout the day.,2006,2,10,Winter,Freezing,2.5,Moderate
2006-02-11,Foggy,snow,-1.0888888888888895,-1.0888888888888895,1.0,4.6851,191.0,0.8533000000000001,0.0,1013.81,Foggy throughout the day.,2006,2,11,Winter,Freezing,2.5,Moderate
2006-02-12,Clear,snow,-2.127777777777777,-2.127777777777777,0.95,3.5581,246.0,6.021400000000001,0.0,1021.56,Foggy starting overnight continuing until afternoon.,2006,2,12,Winter,Freezing,2.5,Moderate
2006-02-13,Overcast,snow,-1.1388888888888893,-5.050000000000001,0.87,11.527600000000001,310.0,9.982000000000001,0.0,1022.26,Mostly cloudy starting overnight continuing until night.,2006,2,13,Winter,Freezing,2.5,Moderate
2006-02-14,Clear,snow,-2.8277777777777775,-4.7,0.85,4.8461,208.0,6.118,0.0,1023.94,Partly cloudy until night.,2006,2,14,Winter,Freezing,2.5,Moderate
2006-02-15,Clear,snow,-1.2055555555555566,-1.2055555555555566,0.92,4.8139,138.0,5.957000000000001,0.0,1024.44,Mostly cloudy until morning.,2006,2,15,Winter,Freezing,2.5,Moderate
2006-02-16,Overcast,snow,-0.005555555555556424,-4.833333333333333,0.85,17.4524,130.0,10.8192,0.0,1015.08,Foggy starting overnight continuing until afternoon.,2006,2,16,Winter,Freezing,2.5,Moderate
2006-02-17,Foggy,rain,2.894444444444445,-0.5722222222222229,0.96,13.507900000000001,160.0,3.0429,0.0,999.36,Foggy starting overnight continuing until evening.,2006,2,17,Winter,Cold,2.5,Moderate
2006-02-18,Mostly Cloudy,rain,1.2555555555555544,-1.5277777777777777,0.92,8.9677,176.0,9.9015,0.0,1004.87,Foggy starting overnight continuing until morning.,2006,2,18,Winter,Cold,2.5,Moderate
2006-02-19,Mostly Cloudy,rain,7.1499999999999995,4.1499999999999995,0.74,16.9694,150.0,9.982000000000001,0.0,1010.97,Mostly cloudy throughout the day.,2006,2,19,Winter,Cold,2.5,Moderate
2006-02-20,Partly Cloudy,rain,6.038888888888888,3.2166666666666663,0.79,13.910400000000001,141.0,9.982000000000001,0.0,1012.06,Partly cloudy throughout the day.,2006,2,20,Winter,Cold,2.5,Moderate
2006-02-21,Mostly Cloudy,rain,8.905555555555557,5.827777777777779,0.78,21.879900000000003,140.0,9.982000000000001,0.0,1009.57,Mostly cloudy starting overnight continuing until night.,2006,2,21,Winter,Cold,2.5,Moderate
2006-02-22,Foggy,rain,6.205555555555557,6.205555555555557,1.0,3.059,55.0,0.4508000000000001,0.0,1013.53,Foggy starting in the evening.,2006,2,22,Winter,Cold,2.5,Moderate
2006-02-23,Mostly Cloudy,rain,2.7777777777777777,-0.8444444444444442,0.82,14.2324,299.0,9.9015,0.0,1020.04,Foggy in the morning.,2006,2,23,Winter,Cold,2.5,Moderate
2006-02-24,Overcast,rain,2.2666666666666657,-1.7388888888888883,0.85,15.826300000000002,32.0,6.0697,0.0,1020.43,Mostly cloudy until night.,2006,2,24,Winter,Cold,2.5,Moderate
2006-02-25,Overcast,rain,3.816666666666665,0.3722222222222232,0.92,14.6027,31.0,11.270000000000001,0.0,1012.99,Overcast until night.,2006,2,25,Winter,Cold,2.5,Moderate
2006-02-26,Overcast,rain,1.0888888888888895,1.0888888888888895,0.93,4.0411,160.0,4.347,0.0,1011.91,Overcast throughout the day.,2006,2,26,Winter,Cold,2.5,Moderate
2006-02-27,Overcast,snow,-0.09444444444444539,-4.961111111111111,0.86,17.581200000000003,299.0,4.3631,0.0,1010.04,Mostly cloudy throughout the day.,2006,2,27,Winter,Freezing,2.5,Moderate
2006-02-28,Clear,snow,-2.3000000000000003,-4.127777777777777,0.81,4.8944,299.0,9.982000000000001,0.0,0.0,Mostly cloudy starting overnight continuing until evening.,2006,2,28,Winter,Freezing,2.5,Moderate
2006-03-01,Overcast,snow,-3.861111111111111,-8.511111111111111,0.91,12.187700000000001,319.0,4.1216,0.0,1008.07,Foggy overnight.,2006,3,1,Spring,Freezing,2.5,Moderate
2006-03-02,Partly Cloudy,snow,-2.061111111111112,-6.077777777777778,0.95,11.1895,180.0,9.982000000000001,0.0,1009.86,Mostly cloudy until evening.,2006,3,2,Spring,Freezing,2.5,Moderate
2006-03-03,Foggy,snow,-1.0388888888888894,-6.433333333333333,0.91,19.3844,347.0,2.3023000000000002,0.0,1007.16,Foggy starting in the afternoon continuing until evening.,2006,3,3,Spring,Freezing,2.5,Moderate
2006-03-04,Mostly Cloudy,rain,2.894444444444445,-1.0055555555555549,0.76,16.0517,161.0,11.2056,0.0,1007.03,Partly cloudy starting in the morning.,2006,3,4,Spring,Cold,2.5,Moderate
2006-03-05,Mostly Cloudy,rain,6.038888888888888,3.416666666666666,0.87,12.654600000000002,150.0,10.948,0.0,996.92,Mostly cloudy throughout the day and breezy in the morning.,2006,3,5,Spring,Cold,2.5,Moderate
2006-03-06,Overcast,snow,0.0,-5.5055555555555555,0.92,22.024800000000003,350.0,4.3309,0.0,0.0,Overcast throughout the day.,2006,3,6,Spring,Cold,2.5,Moderate
2006-03-07,Clear,snow,-0.07222222222222167,-4.305555555555555,0.82,14.0875,339.0,8.05,0.0,1009.99,Mostly cloudy until morning.,2006,3,7,Spring,Freezing,2.5,Moderate
2006-03-08,Partly Cloudy,snow,-1.2555555555555564,-5.627777777777776,0.64,13.4274,330.0,9.982000000000001,0.0,1014.99,Partly cloudy throughout the day.,2006,3,8,Spring,Freezing,2.5,Moderate
2006-03-09,Clear,snow,-2.244444444444444,-2.244444444444444,0.81,4.459700000000001,84.0,9.8049,0.0,1017.51,Partly cloudy starting in the evening continuing until night.,2006,3,9,Spring,Freezing,2.5,Moderate
2006-03-10,Overcast,rain,2.2666666666666657,-1.9555555555555553,0.8,17.1626,181.0,14.6832,0.0,1008.72,Overcast throughout the day.,2006,3,10,Spring,Cold,2.5,Moderate
2006-03-11,Overcast,rain,4.972222222222224,2.638888888888889,0.93,10.0303,149.0,7.728,0.0,1000.82,Overcast throughout the day.,2006,3,11,Spring,Cold,2.5,Moderate
2006-03-12,Overcast,rain,2.872222222222223,2.872222222222223,0.89,3.6225,256.0,9.982000000000001,0.0,1006.11,Foggy overnight.,2006,3,12,Spring,Cold,2.5,Moderate
2006-03-13,Breezy and Overcast,rain,2.155555555555557,-3.9722222222222214,0.72,33.6007,11.0,9.982000000000001,0.0,1012.47,Foggy in the morning and breezy starting in the afternoon continuing until night.,2006,3,13,Spring,Cold,2.5,Moderate
2006-03-14,Overcast,snow,-1.0166666666666657,-7.25,0.92,25.438000000000002,10.0,6.3434,0.0,1017.34,Breezy starting overnight continuing until afternoon and foggy starting in the morning continuing until evening.,2006,3,14,Spring,Freezing,2.5,Moderate
2006-03-15,Clear,rain,0.07222222222222364,-3.8444444444444454,0.85,12.6868,300.0,6.118,0.0,1020.05,Overcast until evening.,2006,3,15,Spring,Cold,2.5,Moderate
2006-03-16,Overcast,rain,1.0888888888888895,-1.2444444444444436,0.85,7.3899,259.0,9.7566,0.0,1021.24,Overcast until night.,2006,3,16,Spring,Cold,2.5,Moderate
2006-03-17,Overcast,rain,2.8500000000000014,2.8500000000000014,0.88,4.7656,253.0,6.021400000000001,0.0,1021.12,Foggy in the morning.,2006,3,17,Spring,Cold,2.5,Moderate
2006-03-18,Mostly Cloudy,rain,2.7999999999999994,-0.43888888888888844,0.89,12.2199,18.0,9.853200000000001,0.0,1019.77,Foggy in the morning.,2006,3,18,Spring,Cold,2.5,Moderate
2006-03-19,Mostly Cloudy,rain,2.872222222222223,2.872222222222223,0.88,3.0912,263.0,10.980200000000002,0.0,1019.22,Mostly cloudy until night.,2006,3,19,Spring,Cold,2.5,Moderate
2006-03-20,Partly Cloudy,rain,2.2666666666666657,-0.8500000000000006,0.85,11.125100000000002,209.0,9.9015,0.0,1013.98,Partly cloudy starting in the morning continuing until evening.,2006,3,20,Spring,Cold,2.5,Moderate
2006-03-21,Clear,rain,6.105555555555557,4.188888888888888,0.76,9.0965,190.0,9.9015,0.0,1010.0,Foggy starting overnight continuing until morning.,2006,3,21,Spring,Cold,2.5,Moderate
2006-03-22,Overcast,rain,10.016666666666667,10.016666666666667,0.76,9.0965,218.0,9.982000000000001,0.0,1008.77,Partly cloudy starting overnight continuing until morning.,2006,3,22,Spring,Moderate,2.5,Moderate
2006-03-23,Overcast,rain,10.994444444444444,10.994444444444444,0.93,2.9141000000000004,57.0,11.125100000000002,0.0,1005.11,Mostly cloudy until night.,2006,3,23,Spring,Moderate,2.5,Moderate
2006-03-24,Mostly Cloudy,rain,2.9111111111111123,-2.0444444444444443,0.6,24.0534,22.0,9.982000000000001,0.0,1010.57,Mostly cloudy throughout the day and breezy in the afternoon.,2006,3,24,Spring,Cold,2.5,Moderate
2006-03-25,Partly Cloudy,rain,2.7333333333333343,-1.3444444444444454,0.89,16.9694,149.0,9.982000000000001,0.0,1016.47,Partly cloudy overnight.,2006,3,25,Spring,Cold,2.5,Moderate
2006-03-26,Overcast,rain,10.02222222222222,10.02222222222222,0.66,9.5312,160.0,9.982000000000001,0.0,1016.69,Partly cloudy until night.,2006,3,26,Spring,Moderate,2.5,Moderate
2006-03-27,Overcast,rain,12.750000000000002,12.750000000000002,0.72,11.109000000000002,297.0,11.270000000000001,0.0,0.0,Mostly cloudy until night.,2006,3,27,Spring,Moderate,2.5,Moderate
2006-03-28,Partly Cloudy,rain,12.850000000000001,12.850000000000001,0.76,10.8997,180.0,9.982000000000001,0.0,1012.47,Partly cloudy starting in the morning.,2006,3,28,Spring,Moderate,2.5,Moderate
2006-03-29,Partly Cloudy,rain,13.93888888888889,13.93888888888889,0.71,7.7440999999999995,162.0,9.982000000000001,0.0,1005.35,Mostly cloudy starting overnight and breezy in the afternoon.,2006,3,29,Spring,Moderate,2.5,Moderate
2006-03-30,Breezy and Mostly Cloudy,rain,9.949999999999998,6.35,0.62,32.6669,281.0,10.0464,0.0,1011.34,Partly cloudy throughout the day and breezy starting in the morning continuing until night.,2006,3,30,Spring,Cold,2.5,Moderate
2006-03-31,Mostly Cloudy,rain,8.983333333333334,7.272222222222224,0.65,10.9158,200.0,9.982000000000001,0.0,1014.47,Partly cloudy throughout the day.,2006,3,31,Spring,Cold,2.5,Moderate
2006-04-01,Partly Cloudy,rain,9.472222222222221,7.3888888888888875,0.89,14.1197,251.0,15.826300000000002,0.0,1015.13,Partly cloudy throughout the day.,2006,4,1,Spring,Cold,2.5,Moderate
2006-04-02,Mostly Cloudy,rain,11.183333333333334,11.183333333333334,0.76,4.9266000000000005,160.0,9.982000000000001,0.0,1015.77,Partly cloudy throughout the day.,2006,4,2,Spring,Moderate,2.5,Moderate
2006-04-03,Partly Cloudy,rain,10.02222222222222,10.02222222222222,0.86,3.1073,149.0,9.9015,0.0,1014.14,Partly cloudy throughout the day.,2006,4,3,Spring,Moderate,2.5,Moderate
2006-04-04,Partly Cloudy,rain,12.194444444444446,12.194444444444446,0.72,9.708300000000001,339.0,9.982000000000001,0.0,1013.35,Partly cloudy until night.,2006,4,4,Spring,Moderate,2.5,Moderate
2006-04-05,Clear,rain,7.827777777777779,6.622222222222224,0.87,7.3738,152.0,9.982000000000001,0.0,1015.81,Mostly cloudy until evening.,2006,4,5,Spring,Cold,2.5,Moderate
2006-04-06,Overcast,rain,13.838888888888887,13.838888888888887,0.59,14.2324,149.0,11.2056,0.0,1004.85,Foggy in the morning.,2006,4,6,Spring,Moderate,2.5,Moderate
2006-04-07,Overcast,rain,5.0,2.438888888888889,0.93,11.125100000000002,358.0,11.0446,0.0,1013.8,Overcast throughout the day.,2006,4,7,Spring,Cold,2.5,Moderate
2006-04-08,Partly Cloudy,rain,5.050000000000002,5.050000000000002,0.75,3.059,275.0,11.2056,0.0,1016.83,Mostly cloudy until evening.,2006,4,8,Spring,Cold,2.5,Moderate
2006-04-09,Clear,rain,7.827777777777779,6.099999999999998,0.68,9.7405,160.0,9.982000000000001,0.0,1018.17,Partly cloudy starting in the morning continuing until evening.,2006,4,9,Spring,Cold,2.5,Moderate
2006-04-10,Partly Cloudy,rain,10.42222222222222,10.42222222222222,0.62,16.985500000000002,150.0,15.826300000000002,0.0,1014.4,Mostly cloudy throughout the day.,2006,4,10,Spring,Moderate,2.5,Moderate
2006-04-11,Mostly Cloudy,rain,15.02222222222222,15.02222222222222,0.55,21.3808,159.0,9.982000000000001,0.0,1008.15,Mostly cloudy throughout the day.,2006,4,11,Spring,Moderate,2.5,Moderate
2006-04-12,Overcast,rain,8.199999999999998,4.605555555555555,0.96,25.4219,330.0,4.4919,0.0,1004.96,Foggy in the evening.,2006,4,12,Spring,Cold,2.5,Moderate
2006-04-13,Overcast,rain,8.794444444444444,6.816666666666668,0.71,12.3648,20.0,9.982000000000001,0.0,1005.89,Foggy overnight and breezy in the morning.,2006,4,13,Spring,Cold,2.5,Moderate
2006-04-14,Overcast,rain,7.894444444444446,6.127777777777778,0.82,9.9981,142.0,9.982000000000001,0.0,1011.32,Overcast throughout the day.,2006,4,14,Spring,Cold,2.5,Moderate
2006-04-15,Mostly Cloudy,rain,12.777777777777779,12.777777777777779,0.69,14.2485,358.0,10.0464,0.0,1014.41,Mostly cloudy throughout the day.,2006,4,15,Spring,Moderate,2.5,Moderate
2006-04-16,Mostly Cloudy,rain,12.288888888888888,12.288888888888888,0.72,9.450700000000001,141.0,9.982000000000001,0.0,1017.58,Mostly cloudy throughout the day.,2006,4,16,Spring,Moderate,2.5,Moderate
2006-04-17,Mostly Cloudy,rain,12.755555555555556,12.755555555555556,0.84,11.0446,270.0,11.0768,0.0,1012.02,Mostly cloudy throughout the day.,2006,4,17,Spring,Moderate,2.5,Moderate
2006-04-18,Partly Cloudy,rain,12.294444444444444,12.294444444444444,0.72,4.6690000000000005,282.0,9.982000000000001,0.0,1012.01,Partly cloudy throughout the day.,2006,4,18,Spring,Moderate,2.5,Moderate
2006-04-19,Mostly Cloudy,rain,14.883333333333333,14.883333333333333,0.72,9.177000000000001,32.0,9.982000000000001,0.0,1012.05,Partly cloudy until night.,2006,4,19,Spring,Moderate,2.5,Moderate
2006-04-20,Overcast,rain,13.011111111111113,13.011111111111113,0.93,10.3362,274.0,9.982000000000001,0.0,1011.35,Mostly cloudy until night.,2006,4,20,Spring,Moderate,2.5,Moderate
2006-04-21,Clear,rain,12.266666666666666,12.266666666666666,0.99,8.05,320.0,6.1985,0.0,1015.76,Foggy starting overnight continuing until morning.,2006,4,21,Spring,Moderate,2.5,Moderate
2006-04-22,Partly Cloudy,rain,12.17222222222222,12.17222222222222,0.92,0.6601,30.0,8.1305,0.0,1017.34,Foggy in the morning.,2006,4,22,Spring,Moderate,2.5,Moderate
2006-04-23,Clear,rain,12.494444444444447,12.494444444444447,0.91,3.9445000000000006,197.0,9.982000000000001,0.0,1015.51,Foggy starting overnight continuing until morning.,2006,4,23,Spring,Moderate,2.5,Moderate
2006-04-24,Partly Cloudy,rain,13.961111111111112,13.961111111111112,0.82,0.0,0.0,9.982000000000001,0.0,1016.01,Foggy in the morning.,2006,4,24,Spring,Moderate,2.5,Moderate
2006-04-25,Partly Cloudy,rain,17.061111111111114,17.061111111111114,0.63,1.5778,228.0,9.982000000000001,0.0,1019.88,Partly cloudy until evening.,2006,4,25,Spring,Moderate,2.5,Moderate
2006-04-26,Mostly Cloudy,rain,16.016666666666666,16.016666666666666,0.72,4.6046000000000005,50.0,9.982000000000001,0.0,1018.31,Partly cloudy starting in the morning.,2006,4,26,Spring,Moderate,2.5,Moderate
2006-04-27,Mostly Cloudy,rain,17.200000000000003,17.200000000000003,0.67,14.49,30.0,9.982000000000001,0.0,1014.13,Mostly cloudy starting overnight continuing until night.,2006,4,27,Spring,Moderate,2.5,Moderate
2006-04-28,Mostly Cloudy,rain,14.144444444444446,14.144444444444446,0.89,8.4364,146.0,9.9015,0.0,1012.64,Mostly cloudy throughout the day.,2006,4,28,Spring,Moderate,2.5,Moderate
2006-04-29,Partly Cloudy,rain,14.983333333333333,14.983333333333333,0.72,13.9426,129.0,11.270000000000001,0.0,1009.55,Mostly cloudy throughout the day.,2006,4,29,Spring,Moderate,2.5,Moderate
2006-04-30,Mostly Cloudy,rain,12.244444444444444,12.244444444444444,0.52,22.942500000000003,160.0,9.982000000000001,0.0,1010.85,Mostly cloudy until night.,2006,4,30,Spring,Moderate,2.5,Moderate
2006-05-01,Mostly Cloudy,rain,12.366666666666665,12.366666666666665,0.57,9.434600000000001,159.0,9.982000000000001,0.0,1014.17,Mostly cloudy throughout the day.,2006,5,1,Spring,Moderate,2.5,Moderate
2006-05-02,Mostly Cloudy,rain,11.094444444444443,11.094444444444443,0.93,1.5939,178.0,4.2987,0.0,1017.57,Mostly cloudy until night.,2006,5,2,Spring,Moderate,2.5,Moderate
2006-05-03,Overcast,rain,12.733333333333334,12.733333333333334,0.78,7.953400000000001,147.0,10.0464,0.0,1022.21,Mostly cloudy throughout the day.,2006,5,3,Spring,Moderate,2.5,Moderate
2006-05-04,Mostly Cloudy,rain,13.75,13.75,0.77,10.6904,120.0,11.125100000000002,0.0,1025.98,Mostly cloudy throughout the day.,2006,5,4,Spring,Moderate,2.5,Moderate
2006-05-05,Clear,rain,12.17222222222222,12.17222222222222,0.67,3.5420000000000007,7.0,9.982000000000001,0.0,1025.94,Partly cloudy until evening.,2006,5,5,Spring,Moderate,2.5,Moderate
2006-05-06,Partly Cloudy,rain,11.344444444444445,11.344444444444445,0.69,7.550900000000001,326.0,9.982000000000001,0.0,1022.05,Partly cloudy starting in the afternoon.,2006,5,6,Spring,Moderate,2.5,Moderate
2006-05-07,Partly Cloudy,rain,8.961111111111112,7.950000000000001,0.89,7.3255,326.0,11.270000000000001,0.0,1018.25,Partly cloudy until night.,2006,5,7,Spring,Cold,2.5,Moderate
2006-05-08,Partly Cloudy,rain,12.222222222222221,12.222222222222221,0.8,13.8138,322.0,11.270000000000001,0.0,1018.15,Partly cloudy starting in the morning.,2006,5,8,Spring,Moderate,2.5,Moderate
2006-05-09,Partly Cloudy,rain,12.66111111111111,12.66111111111111,0.78,4.7495,160.0,11.125100000000002,0.0,1015.81,Partly cloudy throughout the day.,2006,5,9,Spring,Moderate,2.5,Moderate
2006-05-10,Partly Cloudy,rain,12.622222222222222,12.622222222222222,0.78,10.787,119.0,15.826300000000002,0.0,1011.35,Partly cloudy starting overnight.,2006,5,10,Spring,Moderate,2.5,Moderate
2006-05-11,Partly Cloudy,rain,12.66111111111111,12.66111111111111,0.7,16.856700000000004,40.0,11.2056,0.0,1010.55,Partly cloudy starting overnight.,2006,5,11,Spring,Moderate,2.5,Moderate
2006-05-12,Mostly Cloudy,rain,12.733333333333334,12.733333333333334,0.83,6.118,247.0,15.826300000000002,0.0,1016.73,Mostly cloudy throughout the day.,2006,5,12,Spring,Moderate,2.5,Moderate
2006-05-13,Partly Cloudy,rain,14.955555555555557,14.955555555555557,0.67,9.1126,130.0,9.982000000000001,0.0,1020.68,Partly cloudy until night.,2006,5,13,Spring,Moderate,2.5,Moderate
